token,cntry,spp,sppcode,Q_group,Q_sub,Q_ss,neg,conf,min,mean,max
9NDOhyEhfL11Dc9,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub1,Scope,0,75,0.05,0.1,0.15
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub1,Severity,0,65,1e-4,0.05,0.1
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub1,Scope,0,50,0.05,0.07500000000000001,0.1
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub1,Severity,0,50,0.2,0.25,0.3
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Scope,0,60,0.5,0.625,0.75
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Severity,0,50,0.2,0.25,0.3
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub1,Scope,0,60,0.15,0.175,0.2
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub1,Severity,0,50,0.15,0.275,0.4
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub1,Scope,0,65,0.25,0.325,0.4
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub1,Severity,0,55,0.1,0.2,0.3
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub1,Scope,0,65,0.4,0.575,0.75
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub1,Severity,0,50,0.2,0.475,0.75
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,0,60,1e-4,0.05,0.1
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,0,55,1e-4,0.1,0.2
qU7nTe7DUo5Q8df,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
Hs8rtz8tJ5gQeaS,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Scope,0,70,0.5,0.6,0.8
Hs8rtz8tJ5gQeaS,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Severity,0,80,1e-4,0.1,0.3
FRSdFEy67zNzfL1,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
gArrS9ijNlKkTZO,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Scope,0,55,0.2,0.25,0.3
gArrS9ijNlKkTZO,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Severity,0,65,0.05,0.1,0.15
HiK5lkmh6rxEfzG,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
WsDVC9TheztYX1X,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Scope,0,85,0.05,0.1,0.15
WsDVC9TheztYX1X,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Severity,0,80,1e-4,0.05,0.1
HiK5lkmh6rxEfzG,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Euderma maculatum,EUDERMA_MACULATUM,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Euderma maculatum,EUDERMA_MACULATUM,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
BhwrZk0Z5QiZAy6,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Scope,0,75,0.15,0.45,0.7
BhwrZk0Z5QiZAy6,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Severity,0,65,1e-4,0.05,0.3
BhwrZk0Z5QiZAy6,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Scope,0,70,0.25,0.5,0.9
BhwrZk0Z5QiZAy6,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Severity,0,65,1e-4,0.1,0.2
9NDOhyEhfL11Dc9,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasionycteris noctivagans,LASIONYCTERIS_NOCTIVAGANS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasionycteris noctivagans,LASIONYCTERIS_NOCTIVAGANS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub2,Scope,0,75,0.05,0.1,0.15
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub2,Severity,0,70,0.05,0.1,0.15
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
Hs8rtz8tJ5gQeaS,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Scope,0,80,0.6,0.7,0.8
Hs8rtz8tJ5gQeaS,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub2,Severity,0,75,0.1,0.2,0.3
FRSdFEy67zNzfL1,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub2,Scope,1,99.99,1e-4,0.005,0.01
FRSdFEy67zNzfL1,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub2,Severity,1,99.99,1e-4,0.005,0.01
gArrS9ijNlKkTZO,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
gArrS9ijNlKkTZO,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Euderma maculatum,EUDERMA_MACULATUM,ag,sub3,Scope,0,50,0.3,0.4,0.5
AK8oXSfGY0KzIa0,Canada,Euderma maculatum,EUDERMA_MACULATUM,ag,sub3,Severity,0,70,0.15,0.2,0.25
HiK5lkmh6rxEfzG,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
HiK5lkmh6rxEfzG,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
BENVwSZb0cPk6MC,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
BhwrZk0Z5QiZAy6,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
BhwrZk0Z5QiZAy6,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
BhwrZk0Z5QiZAy6,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
BhwrZk0Z5QiZAy6,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis leibii,MYOTIS_LEIBII,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus borealis,LASIURUS_BOREALIS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasionycteris noctivagans,LASIONYCTERIS_NOCTIVAGANS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasionycteris noctivagans,LASIONYCTERIS_NOCTIVAGANS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Myotis lucifugus,MYOTIS_LUCIFUGUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
9NDOhyEhfL11Dc9,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Scope,0,90,0.1,0.5,0.9
UNDfQVdwJLSp4wB,Canada,Lasiurus cinereus,LASIURUS_CINEREUS,ag,sub3,Severity,0,95,1e-4,0.05,0.1
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub3,Scope,0,75,1e-4,0.1,0.2
I2XSSZ7YVUr9HOO,Canada,Myotis volans,MYOTIS_VOLANS,ag,sub3,Severity,0,75,0.05,0.1,0.15
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub3,Scope,0,60,0.5,0.625,0.75
AK8oXSfGY0KzIa0,Canada,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub3,Severity,0,50,0.2,0.25,0.3
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub3,Scope,0,60,0.15,0.22499999999999998,0.3
AK8oXSfGY0KzIa0,Canada,Myotis evotis,MYOTIS_EVOTIS,ag,sub3,Severity,0,50,0.05,0.07500000000000001,0.1
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub3,Scope,0,65,0.3,0.45,0.55
AK8oXSfGY0KzIa0,Canada,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub3,Severity,0,55,0.1,0.2,0.3
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub3,Scope,0,65,0.4,0.575,0.75
AK8oXSfGY0KzIa0,Canada,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub3,Severity,0,50,0.05,0.07500000000000001,0.1
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
AK8oXSfGY0KzIa0,Canada,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Scope,1,99.99,1e-4,0.005,0.01
qU7nTe7DUo5Q8df,Canada,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub3,Severity,1,99.99,1e-4,0.005,0.01
